departamento,municipio,codigo_departamental,codigo_municipal,solar_power_mean_norm,poblacion_expuesta_a_terremotos_norm,poblacion_expuesta_a_inundaciones_norm,poblacion_expuesta_a_ciclones_y_marejadas_norm,poblacion_expuesta_a_deslizamientos_norm,poblacion_afectada_por_sequia_norm,poblacion_expuesta_a_incendios_forestales_norm,capacidad_de_respuesta_norm,infraestructura_norm,iae_norm,solar_suitability_index
Colon,Santa Fe,HN02,HN0206,0.31971552592195784,1.0,0.10999999999999999,1.0,1.0,0.51,0.8709677419354838,0.6451612903225806,0.5409836065573771,0.9946091644204852,0.5893758402027296
Lempira,Cololaca,HN13,HN1304,0.5813179649808252,0.30999999999999994,0.79,1.0,0.06999999999999995,0.4,0.4193548387096774,0.6451612903225806,0.7377049180327869,0.7758310871518418,0.5884342431004613
Francisco Morazan,El Porvenir,HN08,HN0805,0.3913105110693361,1.0,0.72,1.0,0.64,1.0,0.16129032258064513,0.6451612903225806,0.5573770491803279,0.5418688230008984,0.5848187499633579
Olancho,Concordia,HN15,HN1504,0.22403672394074536,1.0,0.74,1.0,0.47,0.62,0.8064516129032259,0.6451612903225806,0.7540983606557377,0.8533692722371967,0.584404777958877
Yoro,Sulaco,HN18,HN1809,0.3654019903516459,1.0,0.64,1.0,0.53,0.5599999999999999,0.6129032258064515,0.2795698924731182,0.639344262295082,0.8470799640610961,0.5838858074307369
Choluteca,Choluteca,HN06,HN0601,0.874779960185223,0.050000000000000044,0.08000000000000007,0.4948453608247422,0.42999999999999994,1.0,0.4193548387096774,0.2795698924731182,0.2950819672131148,0.8245283018867924,0.5831645195705398
Lempira,Santa Cruz,HN13,HN1322,0.5614680962619433,0.32999999999999996,1.0,1.0,0.16999999999999993,0.4099999999999999,0.6129032258064515,0.2795698924731182,0.8688524590163936,0.45139263252470807,0.5804910310178333
Comayagua,Ajuterique,HN03,HN0302,0.4761050439805458,0.28,0.44000000000000006,1.0,0.5900000000000001,1.0,0.8064516129032259,0.6451612903225806,0.37704918032786894,0.8193171608265948,0.5799185607989601
Cortes,Potrerillos,HN05,HN0505,0.509894539000888,0.21999999999999997,0.09000000000000008,1.0,0.6799999999999999,1.0,0.6451612903225807,0.8817204301075269,0.4754098360655738,0.8530098831985625,0.5797007595014556
El Paraiso,Oropoli,HN07,HN0709,0.47491485075219,1.0,0.13000000000000012,1.0,0.65,0.040000000000000036,0.8709677419354838,0.2795698924731182,0.6721311475409836,0.8651392632524708,0.5779837979823969
Olancho,San Francisco De La Paz,HN15,HN1519,0.26048405849017753,1.0,0.72,1.0,0.05999999999999994,1.0,0.6774193548387096,0.6451612903225806,0.7213114754098362,0.8048517520215633,0.5778889690211537
Intibuca,Masaguara,HN10,HN1009,0.44234695035076793,0.29000000000000004,0.74,1.0,0.050000000000000044,1.0,0.6774193548387096,0.6451612903225806,0.7868852459016396,0.645822102425876,0.576395393261972
Olancho,Santa Maria Del Real,HN15,HN1520,0.19223102948652984,1.0,0.77,1.0,0.53,1.0,0.8387096774193548,0.6451612903225806,0.5245901639344263,0.8062893081761006,0.5763494526926284
Copan,San Juan De Opoa,HN04,HN0418,0.383821180818207,0.30000000000000004,0.63,1.0,0.42000000000000004,1.0,0.8387096774193548,0.6451612903225806,0.6065573770491803,0.788858939802336,0.5760596901328144
Cortes,San Francisco De Yojoa,HN05,HN0508,0.48342213206276063,0.21999999999999997,0.7,1.0,0.65,1.0,0.5806451612903225,0.6021505376344085,0.26229508196721313,0.8293800539083558,0.5759114963686629
Comayagua,San Jose De Comayagua,HN03,HN0314,0.44599571102685304,0.32000000000000006,0.42000000000000004,1.0,0.44000000000000006,1.0,0.8709677419354838,0.6451612903225806,0.5081967213114754,0.7841868823000899,0.5754529882528131
Olancho,Dulce Nombre De Culmi,HN15,HN1505,0.1854123724772785,1.0,0.73,1.0,0.44999999999999996,1.0,0.6774193548387096,0.6451612903225806,0.8524590163934428,0.6300988319856243,0.5714533410114058
Lempira,San Manuel Colohete,HN13,HN1319,0.681579978061067,0.30000000000000004,0.11999999999999988,1.0,0.05999999999999994,0.36,0.6129032258064515,0.6451612903225806,0.8688524590163936,0.5803234501347709,0.571302841301006
Olancho,Guarizama,HN15,HN1509,0.3133601572109253,1.0,0.13000000000000012,1.0,0.42000000000000004,1.0,0.8387096774193548,0.2795698924731182,0.7049180327868854,0.8700808625336928,0.5670770198246988
Cortes,San Antonio De Cortes,HN05,HN0507,0.4393656590399236,0.22999999999999998,0.11999999999999988,1.0,0.63,1.0,0.7419354838709677,0.6451612903225806,0.6721311475409836,0.8254267744833782,0.5661079664147964
